delay,50
params,1.0000,0.5717,0.8334,-0.1000
pos,306,2.8200,-1.5898,0.5177,-1.6918
pos,307,2.8420,-1.5913,0.5280,-1.6918
pos,308,2.8638,-1.5929,0.5383,-1.6918
pos,309,2.8856,-1.5946,0.5487,-1.6918
pos,310,2.9072,-1.5963,0.5590,-1.6918
pos,311,2.9287,-1.5980,0.5693,-1.6918
pos,312,2.9501,-1.5997,0.5796,-1.6918
pos,313,2.9714,-1.6015,0.5898,-1.6918
pos,314,2.9926,-1.6033,0.5999,-1.6918
pos,315,3.0136,-1.6050,0.6100,-1.6919
pos,316,3.0346,-1.6068,0.6201,-1.6919
pos,317,3.0555,-1.6086,0.6300,-1.6919
pos,318,3.0762,-1.6104,0.6399,-1.6920
pos,319,3.0968,-1.6122,0.6498,-1.6920
pos,320,3.1173,-1.6140,0.6597,-1.6921
pos,321,3.1377,-1.6159,0.6695,-1.6921
pos,322,3.1579,-1.6178,0.6794,-1.6922
pos,323,3.1780,-1.6197,0.6892,-1.6923
pos,324,3.1980,-1.6215,0.6989,-1.6923
pos,325,3.2178,-1.6235,0.7086,-1.6924
pos,326,3.2375,-1.6254,0.7183,-1.6925
pos,327,3.2570,-1.6273,0.7279,-1.6926
pos,328,3.2765,-1.6292,0.7374,-1.6927
pos,329,3.2957,-1.6311,0.7469,-1.6928
pos,330,3.3149,-1.6330,0.7563,-1.6929
pos,331,3.3338,-1.6348,0.7656,-1.6930
pos,332,3.3527,-1.6367,0.7749,-1.6931
pos,333,3.3714,-1.6385,0.7840,-1.6933
pos,334,3.3899,-1.6403,0.7931,-1.6934
pos,335,3.4083,-1.6420,0.8020,-1.6936
pos,336,3.4266,-1.6437,0.8109,-1.6937
pos,337,3.4447,-1.6453,0.8196,-1.6939
pos,338,3.4628,-1.6469,0.8283,-1.6941
pos,339,3.4807,-1.6484,0.8368,-1.6943
pos,340,3.4984,-1.6500,0.8453,-1.6945
pos,341,3.5160,-1.6514,0.8537,-1.6947
pos,342,3.5335,-1.6529,0.8620,-1.6949
pos,343,3.5508,-1.6543,0.8702,-1.6951
pos,344,3.5679,-1.6557,0.8784,-1.6953
pos,345,3.5849,-1.6571,0.8865,-1.6956
pos,346,3.6017,-1.6584,0.8945,-1.6958
pos,347,3.6184,-1.6597,0.9024,-1.6960
pos,348,3.6348,-1.6610,0.9103,-1.6963
pos,349,3.6512,-1.6622,0.9181,-1.6965
pos,350,3.6673,-1.6634,0.9258,-1.6968
pos,351,3.6833,-1.6645,0.9334,-1.6971
pos,352,3.6991,-1.6655,0.9409,-1.6973
pos,353,3.7148,-1.6665,0.9483,-1.6976
pos,354,3.7303,-1.6674,0.9556,-1.6979
pos,355,3.7456,-1.6683,0.9629,-1.6982
pos,356,3.7608,-1.6691,0.9700,-1.6985
pos,357,3.7759,-1.6698,0.9771,-1.6989
pos,358,3.7907,-1.6704,0.9840,-1.6992
pos,359,3.8055,-1.6710,0.9909,-1.6995
pos,360,3.8201,-1.6715,0.9977,-1.6999
pos,361,3.8346,-1.6719,1.0044,-1.7003
pos,362,3.8490,-1.6722,1.0110,-1.7006
pos,363,3.8632,-1.6724,1.0175,-1.7010
pos,364,3.8773,-1.6725,1.0240,-1.7014
pos,365,3.8912,-1.6726,1.0303,-1.7019
pos,366,3.9049,-1.6726,1.0366,-1.7023
pos,367,3.9185,-1.6725,1.0428,-1.7027
pos,368,3.9319,-1.6724,1.0490,-1.7032
pos,369,3.9450,-1.6722,1.0550,-1.7036
pos,370,3.9580,-1.6720,1.0610,-1.7041
pos,371,3.9709,-1.6716,1.0669,-1.7045
pos,372,3.9835,-1.6713,1.0728,-1.7050
pos,373,3.9959,-1.6708,1.0785,-1.7055
pos,374,4.0082,-1.6703,1.0842,-1.7060
pos,375,4.0202,-1.6698,1.0898,-1.7065
pos,376,4.0321,-1.6692,1.0953,-1.7070
pos,377,4.0438,-1.6685,1.1008,-1.7075
pos,378,4.0553,-1.6677,1.1062,-1.7080
pos,379,4.0666,-1.6669,1.1115,-1.7086
pos,380,4.0777,-1.6659,1.1167,-1.7091
pos,381,4.0887,-1.6646,1.1219,-1.7097
pos,382,4.0996,-1.6630,1.1270,-1.7102
pos,383,4.1103,-1.6613,1.1320,-1.7108
pos,384,4.1209,-1.6592,1.1370,-1.7113
pos,385,4.1313,-1.6570,1.1419,-1.7118
pos,386,4.1416,-1.6545,1.1467,-1.7124
pos,387,4.1517,-1.6518,1.1514,-1.7129
pos,388,4.1617,-1.6488,1.1561,-1.7134
pos,389,4.1715,-1.6457,1.1607,-1.7138
