delay,50
params,1.0000,0.5717,0.8334,-0.1000
pos,382,-1.7556,-2.0171,1.5916,-3.1500
pos,383,-1.7568,-2.0114,1.5940,-3.1501
pos,384,-1.7580,-2.0056,1.5966,-3.1501
pos,385,-1.7593,-1.9996,1.5991,-3.1501
pos,386,-1.7607,-1.9935,1.6018,-3.1502
pos,387,-1.7620,-1.9873,1.6044,-3.1502
pos,388,-1.7634,-1.9809,1.6071,-3.1503
pos,389,-1.7649,-1.9744,1.6099,-3.1503
pos,390,-1.7663,-1.9678,1.6127,-3.1503
pos,391,-1.7679,-1.9610,1.6155,-3.1503
pos,392,-1.7694,-1.9540,1.6183,-3.1504
pos,393,-1.7710,-1.9469,1.6212,-3.1504
pos,394,-1.7727,-1.9397,1.6242,-3.1505
pos,395,-1.7744,-1.9323,1.6271,-3.1505
pos,396,-1.7761,-1.9247,1.6301,-3.1505
pos,397,-1.7779,-1.9170,1.6332,-3.1506
pos,398,-1.7797,-1.9092,1.6362,-3.1507
pos,399,-1.7814,-1.9012,1.6393,-3.1507
pos,400,-1.7830,-1.8931,1.6424,-3.1508
pos,401,-1.7844,-1.8848,1.6455,-3.1509
pos,402,-1.7857,-1.8764,1.6487,-3.1510
pos,403,-1.7869,-1.8678,1.6518,-3.1510
pos,404,-1.7879,-1.8590,1.6550,-3.1511
pos,405,-1.7888,-1.8502,1.6581,-3.1512
pos,406,-1.7897,-1.8412,1.6612,-3.1512
pos,407,-1.7904,-1.8320,1.6643,-3.1513
pos,408,-1.7910,-1.8227,1.6674,-3.1514
pos,409,-1.7915,-1.8132,1.6705,-3.1514
pos,410,-1.7919,-1.8036,1.6735,-3.1515
pos,411,-1.7922,-1.7937,1.6766,-3.1516
pos,412,-1.7924,-1.7837,1.6796,-3.1516
pos,413,-1.7926,-1.7735,1.6826,-3.1517
pos,414,-1.7926,-1.7631,1.6856,-3.1518
pos,415,-1.7926,-1.7525,1.6885,-3.1518
pos,416,-1.7924,-1.7417,1.6914,-3.1519
pos,417,-1.7922,-1.7308,1.6943,-3.1519
pos,418,-1.7920,-1.7197,1.6971,-3.1520
pos,419,-1.7916,-1.7085,1.6998,-3.1521
pos,420,-1.7912,-1.6973,1.7024,-3.1521
pos,421,-1.7907,-1.6859,1.7050,-3.1522
pos,422,-1.7902,-1.6744,1.7076,-3.1522
pos,423,-1.7896,-1.6627,1.7100,-3.1523
pos,424,-1.7889,-1.6510,1.7123,-3.1523
pos,425,-1.7882,-1.6392,1.7146,-3.1523
pos,426,-1.7874,-1.6273,1.7168,-3.1524
pos,427,-1.7865,-1.6153,1.7189,-3.1524
pos,428,-1.7856,-1.6033,1.7209,-3.1525
pos,429,-1.7847,-1.5912,1.7228,-3.1526
pos,430,-1.7836,-1.5790,1.7247,-3.1527
pos,431,-1.7826,-1.5667,1.7264,-3.1528
pos,432,-1.7814,-1.5544,1.7280,-3.1529
pos,433,-1.7802,-1.5420,1.7295,-3.1531
pos,434,-1.7790,-1.5295,1.7309,-3.1532
pos,435,-1.7777,-1.5170,1.7322,-3.1533
pos,436,-1.7764,-1.5044,1.7334,-3.1534
pos,437,-1.7750,-1.4917,1.7345,-3.1535
pos,438,-1.7735,-1.4788,1.7354,-3.1536
pos,439,-1.7720,-1.4659,1.7363,-3.1537
pos,440,-1.7704,-1.4529,1.7370,-3.1538
pos,441,-1.7688,-1.4397,1.7376,-3.1539
pos,442,-1.7671,-1.4264,1.7381,-3.1540
pos,443,-1.7654,-1.4129,1.7384,-3.1541
pos,444,-1.7637,-1.3994,1.7386,-3.1542
pos,445,-1.7618,-1.3859,1.7386,-3.1542
pos,446,-1.7599,-1.3725,1.7385,-3.1543
pos,447,-1.7580,-1.3591,1.7383,-3.1544
pos,448,-1.7560,-1.3458,1.7379,-3.1545
pos,449,-1.7539,-1.3326,1.7374,-3.1545
pos,450,-1.7518,-1.3195,1.7367,-3.1546
pos,451,-1.7496,-1.3065,1.7359,-3.1547
pos,452,-1.7473,-1.2936,1.7350,-3.1547
pos,453,-1.7450,-1.2807,1.7339,-3.1548
pos,454,-1.7426,-1.2679,1.7326,-3.1548
pos,455,-1.7401,-1.2551,1.7312,-3.1549
pos,456,-1.7376,-1.2425,1.7296,-3.1549
pos,457,-1.7350,-1.2298,1.7279,-3.1549
pos,458,-1.7323,-1.2172,1.7261,-3.1549
pos,459,-1.7296,-1.2046,1.7240,-3.1549
pos,460,-1.7268,-1.1920,1.7218,-3.1550
pos,461,-1.7239,-1.1794,1.7195,-3.1550
pos,462,-1.7211,-1.1669,1.7169,-3.1550
pos,463,-1.7184,-1.1547,1.7143,-3.1550
pos,464,-1.7159,-1.1427,1.7115,-3.1550
pos,465,-1.7134,-1.1309,1.7085,-3.1550
pos,466,-1.7111,-1.1193,1.7055,-3.1549
pos,467,-1.7088,-1.1079,1.7023,-3.1549
pos,468,-1.7066,-1.0967,1.6990,-3.1549
pos,469,-1.7045,-1.0857,1.6956,-3.1549
pos,470,-1.7025,-1.0748,1.6921,-3.1548
pos,471,-1.7005,-1.0642,1.6884,-3.1548
pos,472,-1.6987,-1.0537,1.6847,-3.1547
pos,473,-1.6968,-1.0434,1.6808,-3.1547
pos,474,-1.6951,-1.0332,1.6768,-3.1546
pos,475,-1.6934,-1.0232,1.6727,-3.1545
pos,476,-1.6917,-1.0133,1.6685,-3.1545
pos,477,-1.6901,-1.0035,1.6642,-3.1544
pos,478,-1.6886,-0.9939,1.6598,-3.1543
pos,479,-1.6871,-0.9845,1.6553,-3.1542
pos,480,-1.6856,-0.9754,1.6507,-3.1541
pos,481,-1.6842,-0.9665,1.6461,-3.1541
pos,482,-1.6828,-0.9579,1.6414,-3.1540
pos,483,-1.6815,-0.9495,1.6366,-3.1539
pos,484,-1.6802,-0.9413,1.6318,-3.1538
pos,485,-1.6789,-0.9334,1.6269,-3.1538
pos,486,-1.6777,-0.9257,1.6220,-3.1537
pos,487,-1.6765,-0.9183,1.6170,-3.1537
pos,488,-1.6753,-0.9111,1.6120,-3.1536
pos,489,-1.6741,-0.9042,1.6070,-3.1536
pos,490,-1.6730,-0.8975,1.6019,-3.1535
pos,491,-1.6719,-0.8911,1.5967,-3.1534
pos,492,-1.6708,-0.8849,1.5915,-3.1534
pos,493,-1.6697,-0.8789,1.5863,-3.1533
